chromosome,genome,n_genes,n_records,fractionation_rate,records_per_gene
1A,A,4700,1301,0.2053,0.27681
1B,B,5514,2174,0.2806,0.39427
1D,D,4957,684,0.2197,0.13799
2A,A,6004,1450,0.1666,0.24151
2B,B,6383,2074,0.1788,0.32493
2D,D,6069,1438,0.1519,0.23694
3A,A,5520,2272,0.1817,0.41159
3B,B,6194,1518,0.197,0.24508
3D,D,5573,892,0.1626,0.16006
4A,A,5197,1296,0.2528,0.24937
4B,B,4019,1970,0.1622,0.49017
4D,D,3739,745,0.1321,0.19925
5A,A,6591,1771,0.2924,0.2687
5B,B,6412,2546,0.2511,0.39707
5D,D,6227,3838,0.2261,0.61635
6A,A,4307,1714,0.1837,0.39796
6B,B,4916,1408,0.227,0.28641
6D,D,4196,933,0.1787,0.22235
7A,A,5804,1897,0.2305,0.32684
7B,B,5092,1444,0.1901,0.28358
7D,D,5703,983,0.1803,0.17237
