chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,n_qtl,n_metaqtl,n_trait_categories,dominant_trait,total_qtl_metaqtl
1A,A,0,20000000,491,0.4277,182,4,9,Abiotic stress,186
1A,A,20000000,40000000,289,0.3772,82,2,6,Abiotic stress,84
1A,A,40000000,60000000,182,0.1758,46,0,6,Biofortification,46
1A,A,60000000,80000000,127,0.189,14,0,3,Biofortification,14
1A,A,80000000,100000000,144,0.1806,4,0,4,Herbicide tolerance,4
1A,A,100000000,120000000,120,0.1583,22,0,6,Abiotic stress,22
1A,A,120000000,140000000,73,0.1233,9,0,5,Abiotic stress,9
1A,A,140000000,160000000,60,0.2167,10,0,3,Abiotic stress,10
1A,A,160000000,180000000,34,0.2647,8,0,3,Abiotic stress,8
1A,A,180000000,200000000,21,0.2857,8,0,3,Abiotic stress,8
1A,A,200000000,220000000,26,0.2308,3,0,1,Abiotic stress,3
1A,A,220000000,240000000,45,0.1111,6,0,3,Abiotic stress,6
1A,A,240000000,260000000,94,0.1277,6,0,3,Abiotic stress,6
1A,A,260000000,280000000,63,0.3175,9,0,2,Abiotic stress,9
1A,A,280000000,300000000,91,0.1319,11,0,4,Abiotic stress,11
1A,A,300000000,320000000,98,0.1327,17,0,4,Abiotic stress,17
1A,A,320000000,340000000,108,0.1389,18,0,6,Abiotic stress,18
1A,A,340000000,360000000,118,0.1271,26,0,6,Morphological,26
1A,A,360000000,380000000,149,0.1275,32,0,4,Abiotic stress,32
1A,A,380000000,400000000,132,0.1136,32,0,2,Abiotic stress,32
1A,A,400000000,420000000,79,0.1013,15,0,4,Fungal resistance,15
1A,A,420000000,440000000,111,0.1351,2,1,3,Abiotic stress,3
1A,A,440000000,460000000,167,0.0539,28,0,4,Abiotic stress,28
1A,A,460000000,480000000,167,0.1078,55,2,6,Abiotic stress,57
1A,A,480000000,500000000,280,0.1357,128,2,7,Abiotic stress,130
1A,A,500000000,520000000,216,0.1481,81,3,7,Abiotic stress,84
1A,A,520000000,540000000,286,0.1993,125,2,8,Abiotic stress,127
1A,A,540000000,560000000,376,0.1941,117,0,7,Abiotic stress,117
1A,A,560000000,580000000,341,0.2287,83,0,7,Abiotic stress,83
1A,A,580000000,600000000,212,0.2264,104,2,7,Abiotic stress,106
1B,B,0,20000000,441,0.3719,142,1,9,Abiotic stress,143
1B,B,20000000,40000000,173,0.3468,61,1,7,Abiotic stress,62
1B,B,40000000,60000000,663,0.7828,86,0,7,Abiotic stress,86
1B,B,60000000,80000000,96,0.1562,82,2,5,Yield,84
1B,B,80000000,100000000,133,0.4361,19,0,4,Biofortification,19
1B,B,100000000,120000000,136,0.2132,75,0,6,Biofortification,75
1B,B,120000000,140000000,114,0.2018,18,0,5,Biofortification,18
1B,B,140000000,160000000,106,0.1321,44,0,5,Fungal resistance,44
1B,B,160000000,180000000,89,0.0787,33,0,4,Biofortification,33
1B,B,180000000,200000000,69,0.058,31,0,5,Biofortification,31
1B,B,200000000,220000000,35,0.2571,8,0,4,Yield,8
1B,B,220000000,240000000,24,0.125,6,0,3,Abiotic stress,6
1B,B,240000000,260000000,29,0.069,1,0,1,Fungal resistance,1
1B,B,260000000,280000000,67,0.0597,4,0,1,Abiotic stress,4
1B,B,280000000,300000000,67,0.2239,23,0,5,Abiotic stress,23
1B,B,300000000,320000000,79,0.1139,61,0,5,Abiotic stress,61
1B,B,320000000,340000000,129,0.1318,25,2,4,Abiotic stress,27
