S_No,Species,Trait,Parameter,"metaQTL name",Chromosome,"Position/Interval in cM/bp","Associated Markers",PVE/R2,"Link to reference"
1,"Triticum aestivum","Developmental trait","Earliness;Flowering time-photoperiod sensitivity-intrinsic earliness",2,2B,46.8(43.5-50.1),"wmc770, gwm148",12.5,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
2,"Triticum aestivum","Developmental trait","Earliness;Heading date",18,7D,150.9(144.9-156.9),"wmc166, wmc14",6.9,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
3,"Triticum aestivum","Developmental trait","Earliness;Heading date- intrinsic earliness",16,7A,57.7(48.4-67.1),"wmc83, wmc405",8.1,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
4,"Triticum aestivum","Developmental trait","Earliness;Heading date- intrinsic earliness",17,7B,45.0(34.5-55.5),"gwm537, gwm68",8.4,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
5,"Triticum aestivum","Developmental trait","Earliness;Heading date- photoperiod sensitivity",7,4A,48.2(45.8-50.6),"gwm565, gwm494",8.6,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
6,"Triticum aestivum","Developmental trait","Earliness;Heading date- photoperiod sensitivity",8,4B,24.3(23.8-24.9),"wmc310, gwm251",6,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
7,"Triticum aestivum","Developmental trait","Earliness;Heading date- photoperiod sensitivity",9,5A,76.5(72.6-80.3),"gwm639, gwm617",10.3,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
8,"Triticum aestivum","Developmental trait","Earliness;Heading date-intrinsic earliness",1,2B,38.5(35.9-41),"wmc597, wmc257",21.1,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
9,"Triticum aestivum","Developmental trait","Earliness;Heading date-intrinsic earliness",4,2D,37.6(36.8-38.3),"wmc470, gwm484",30.3,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
10,"Triticum aestivum","Developmental trait","Earliness;Heading date-intrinsic earliness",6,2D,46.1(45.5-46.6),"wmc453, barc168",22.6,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
11,"Triticum aestivum","Developmental trait","Earliness;Heading date-intrinsic earliness",11,5B,38.5(30-46.9),"gwm234, wmc149",14.7,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
12,"Triticum aestivum","Developmental trait","Earliness;Heading date-photoperiod sensitivity",5,2D,41.1(40.8-41.4),"gwm484, wmc453",38.9,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
13,"Triticum aestivum","Developmental trait","Earliness;Intrinsic earliness- Heading date-vernalization requirement",12,5B,76.5(71.6-81.4),"gwm499, gwm639",10.9,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
14,"Triticum aestivum","Developmental trait","Earliness;Photoperiod sensitivity-winter hardiness",15,6A,25.6(23.4-27.9),"barc23, wmc182",11.3,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
15,"Triticum aestivum","Developmental trait","Earliness;Vernalization requirement",3,2B,77.0(70.5-83.5),"wmc441, wmc500",6.7,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
16,"Triticum aestivum","Developmental trait","Earliness;Vernalization requirement",14,5D,115(101-129.1),"gwm565, gwm272",7.7,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
17,"Triticum aestivum","Developmental trait","Earliness;Vernalization requirement- Heading date",10,5A,106.5(104.9-108.1),"cfa2155, cfa2141",17.4,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
18,"Triticum aestivum","Developmental trait","Earliness;Vernalization requirement- Heading date-photoperiod sensitivity",13,5B,113.4(111.3-115.5),"wmc326, wmc75",21,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z
19,"Triticum aestivum","Developmental trait","Heading time",MQTL1,1B,100-110.9,"wPt4129, gwm140",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
20,"Triticum aestivum","Developmental trait","Heading time",MQTL2,1B,31.9-39.8,"cfd48, wmc611",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
21,"Triticum aestivum","Developmental trait","Heading time",MQTL3,1D,115-117,"wmc405, barc62",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
22,"Triticum aestivum","Developmental trait","Heading time",MQTL4,2A,11-48.4,"gwm636, wmc474",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
23,"Triticum aestivum","Developmental trait","Heading time",MQTL5,2A,40.6-85.2,"wmc827, cfd168",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
24,"Triticum aestivum","Developmental trait","Heading time",MQTL6,3A,41.7-52.5,"wmc505, wmc527",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
25,"Triticum aestivum","Developmental trait","Heading time",MQTL7,3B,37.5-39.7,"wPt7225, wmc500",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
26,"Triticum aestivum","Developmental trait","Heading time",MQTL8,3B,52.1-78.7,"wmc540, wmc787",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
27,"Triticum aestivum","Developmental trait","Heading time",MQTL9,4B,46.5-68.2,"wPt3608, cfd39",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
28,"Triticum aestivum","Developmental trait","Heading time",MQTL10,4D,19-38.3,"wPt8836, gwm165",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
29,"Triticum aestivum","Developmental trait","Heading time",MQTL11,5A,42.4-103.1,"wmc489, cfa2155",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
30,"Triticum aestivum","Developmental trait","Heading time",MQTL12,5A,127.2-150.5,"wmc110, gwm595",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
31,"Triticum aestivum","Developmental trait","Heading time",MQTL13,5B,70.8-129,"wmc745, cfa21215B.2",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
32,"Triticum aestivum","Developmental trait","Heading time",MQTL14,6A,29.7-51.5,"Sbarc23, Sbarc113",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
33,"Triticum aestivum","Developmental trait","Heading time",MQTL15,6B,41.8-62.7,"wPt3309, wmc152",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
34,"Triticum aestivum","Developmental trait","Heading time",MQTL16,7A,14-29.6,"wmc646, gwm60",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
35,"Triticum aestivum","Developmental trait","Heading time",MQTL17,7A,54.3-74.9,"wmc83, wPt7299",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
36,"Triticum aestivum","Developmental trait","Heading time",MQTL18,7B,151.4-240.7,"gwm344, wPt9746",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
37,"Triticum aestivum","Developmental trait","Heading time",MQTL19,7D,138.5-154.3,"wPt2054, cfd175",-,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x
38,"Triticum aestivum","Drought and heat stress tolerance","Drought and heat stress tolerance",MQTL1A.1,1A,179.585-183.815,"Kukri_c11595_537, wsnp_Ku_c21356_31093507",-,https://pubmed.ncbi.nlm.nih.gov/32970252/
