gene_id,chromosome,genome,start,end,n_homoeolog_partners,retention_class,gc_content
ENSRNA050013875,1A,A,200,1683,0,singleton,53.57
ENSRNA050013847,1A,A,5023,6833,0,singleton,49.75
ENSRNA050013913,1A,A,7060,7215,0,singleton,57.69
ENSRNA050013874,1A,A,12317,13827,0,singleton,53.94
ENSRNA050013873,1A,A,15322,16832,0,singleton,53.87
ENSRNA050013836,1A,A,20009,21818,0,singleton,49.94
ENSRNA050013914,1A,A,22045,22200,0,singleton,56.41
ENSRNA050013853,1A,A,28456,30266,0,singleton,49.59
ENSRNA050013918,1A,A,30493,30648,0,singleton,57.69
ENSRNA050013860,1A,A,37093,38903,0,singleton,49.31
ENSRNA050013931,1A,A,39130,39285,0,singleton,57.69
TraesCS1A02G000100,1A,A,40098,70338,0,singleton,54.91
ENSRNA050013844,1A,A,45763,47573,0,singleton,49.53
ENSRNA050013908,1A,A,47800,47955,0,singleton,57.69
ENSRNA050013866,1A,A,54779,56589,0,singleton,49.53
ENSRNA050013923,1A,A,56816,56971,0,singleton,55.77
ENSRNA050013838,1A,A,62994,64795,0,singleton,50.67
ENSRNA050013832,1A,A,66065,67875,0,singleton,50.03
ENSRNA050013919,1A,A,68102,68257,0,singleton,57.69
TraesCS1A02G000200,1A,A,70239,89245,2,triad,53.52
ENSRNA050013837,1A,A,74356,76166,0,singleton,49.86
ENSRNA050013901,1A,A,76393,76548,0,singleton,56.41
ENSRNA050013939,1A,A,77436,77569,0,singleton,61.19
ENSRNA050013876,1A,A,87850,89349,0,singleton,52.67
ENSRNA050013870,1A,A,92116,93923,0,singleton,49.34
ENSRNA050013897,1A,A,94150,94305,0,singleton,58.33
TraesCS1A02G000300,1A,A,95906,104903,1,partial,55.37
ENSRNA050013872,1A,A,100394,102204,0,singleton,49.31
ENSRNA050013903,1A,A,102431,102586,0,singleton,57.69
TraesCS1A02G000400,1A,A,102794,122504,0,singleton,55.02
ENSRNA050013862,1A,A,108714,110524,0,singleton,49.81
ENSRNA050013935,1A,A,110518,110642,0,singleton,56.8
ENSRNA050013851,1A,A,116972,118782,0,singleton,50.03
ENSRNA050013895,1A,A,119009,119164,0,singleton,57.05
ENSRNA050013869,1A,A,125770,127577,0,singleton,49.67
ENSRNA050013909,1A,A,127804,127959,0,singleton,58.33
ENSRNA050013884,1A,A,133963,135140,0,singleton,48.05
ENSRNA050013867,1A,A,138371,140180,0,singleton,50.06
ENSRNA050013904,1A,A,140407,140562,0,singleton,58.33
ENSRNA050013865,1A,A,146825,148630,0,singleton,49.39
ENSRNA050013911,1A,A,148857,149012,0,singleton,55.77
TraesCS1A02G000500,1A,A,149490,154559,0,singleton,55.52
ENSRNA050013891,1A,A,149899,150176,0,singleton,57.91
ENSRNA050013937,1A,A,150189,150350,0,singleton,45.68
ENSRNA050013834,1A,A,151513,153323,0,singleton,49.42
ENSRNA050013902,1A,A,153550,153705,0,singleton,56.41
ENSRNA050013892,1A,A,154591,154868,0,singleton,57.55
ENSRNA050013936,1A,A,154881,155042,0,singleton,43.83
ENSRNA050013840,1A,A,156205,158014,0,singleton,49.5
ENSRNA050013932,1A,A,158241,158396,0,singleton,52.56
ENSRNA050013887,1A,A,160897,161560,0,singleton,49.1
TraesCS1A02G000600,1A,A,162313,162609,1,partial,60.61
ENSRNA050013855,1A,A,166923,168732,0,singleton,49.56
ENSRNA050013925,1A,A,168959,169114,0,singleton,56.41
TraesCS1A02G000700,1A,A,169592,169969,1,partial,64.81
ENSRNA050013886,1A,A,173353,174007,0,singleton,46.72
ENSRNA050013857,1A,A,177506,179315,0,singleton,49.34
ENSRNA050013915,1A,A,179542,179697,0,singleton,57.69
TraesCS1A02G000800,1A,A,180175,180552,0,singleton,62.96
ENSRNA050013878,1A,A,183967,185449,0,singleton,52.73
ENSRNA050013864,1A,A,187584,189393,0,singleton,49.61
ENSRNA050013921,1A,A,189619,189774,0,singleton,57.05
ENSRNA050013835,1A,A,196012,197820,0,singleton,49.7
ENSRNA050013927,1A,A,198047,198202,0,singleton,57.05
ENSRNA050013879,1A,A,227449,228931,0,singleton,52.73
ENSRNA050013852,1A,A,231077,232885,0,singleton,49.81
ENSRNA050013934,1A,A,233112,233267,0,singleton,55.13
TraesCS1A02G000900,1A,A,233818,245051,2,triad,55.65
ENSRNA050013842,1A,A,239322,241132,0,singleton,50.14
ENSRNA050013905,1A,A,241359,241514,0,singleton,57.69
ENSRNA050013856,1A,A,247716,249526,0,singleton,49.64
ENSRNA050013926,1A,A,249754,249909,0,singleton,57.05
ENSRNA050013854,1A,A,256308,258094,0,singleton,49.69
ENSRNA050013924,1A,A,258321,258476,0,singleton,57.05
ENSRNA050013885,1A,A,264876,266593,0,singleton,47.88
TraesCS1A02G001100,1A,A,269472,289602,1,partial,55.31
TraesCS1A02G001000,1A,A,270605,272936,1,partial,59.22
ENSRNA050013899,1A,A,272981,273136,0,singleton,58.97
ENSRNA050013849,1A,A,273363,275173,0,singleton,49.64
ENSRNA050013898,1A,A,281325,281480,0,singleton,58.33
ENSRNA050013845,1A,A,281707,283517,0,singleton,50.03
TraesCS1A02G001200,1A,A,287697,287957,0,singleton,60.92
ENSRNA050013929,1A,A,289494,289649,0,singleton,55.13
ENSRNA050013858,1A,A,289876,291686,0,singleton,49.86
TraesCS1A02G001400,1A,A,294611,305428,0,singleton,55.02
TraesCS1A02G001300,1A,A,297266,297652,1,partial,65.12
ENSRNA050013920,1A,A,298130,298285,0,singleton,57.69
ENSRNA050013859,1A,A,298512,300322,0,singleton,49.86
ENSRNA050013882,1A,A,302895,304348,0,singleton,53.09
ENSRNA050013940,1A,A,314628,314761,0,singleton,61.94
ENSRNA050013910,1A,A,315649,315804,0,singleton,57.05
ENSRNA050013839,1A,A,316031,317841,0,singleton,49.75
ENSRNA050013880,1A,A,320039,321521,0,singleton,52.73
TraesCS1A02G001500,1A,A,326099,326518,0,singleton,63.81
ENSRNA050013894,1A,A,326996,327151,0,singleton,56.41
ENSRNA050013833,1A,A,327378,329188,0,singleton,49.86
ENSRNA050013933,1A,A,335309,335472,0,singleton,55.49
ENSRNA050013928,1A,A,335707,335862,0,singleton,58.33
TraesCS1A02G001600,1A,A,337960,338256,0,singleton,59.93
ENSRNA050013871,1A,A,342085,343857,0,singleton,49.52
ENSRNA050013912,1A,A,344084,344239,0,singleton,57.05
ENSRNA050013883,1A,A,350307,351517,0,singleton,48.31
ENSRNA050013893,1A,A,351514,351906,0,singleton,59.29
ENSRNA050013861,1A,A,354927,356737,0,singleton,49.59
ENSRNA050013900,1A,A,356964,357119,0,singleton,58.97
ENSRNA050013881,1A,A,361517,362999,0,singleton,52.73
ENSRNA050013938,1A,A,365161,365437,0,singleton,46.57
ENSRNA050013890,1A,A,365529,365960,0,singleton,57.87
ENSRNA050013877,1A,A,365961,367471,0,singleton,53.47
ENSRNA050013846,1A,A,370033,371843,0,singleton,49.42
ENSRNA050013896,1A,A,372070,372225,0,singleton,55.77
ENSRNA050013888,1A,A,374729,375326,0,singleton,47.49
ENSRNA050013841,1A,A,380640,382449,0,singleton,49.56
ENSRNA050013917,1A,A,382676,382831,0,singleton,54.49
ENSRNA050013889,1A,A,385292,385889,0,singleton,47.49
ENSRNA050013843,1A,A,390725,392535,0,singleton,49.42
ENSRNA050013907,1A,A,392762,392917,0,singleton,58.33
ENSRNA050013848,1A,A,399166,400975,0,singleton,49.72
ENSRNA050013906,1A,A,401201,401356,0,singleton,58.97
TraesCS1A02G001700,1A,A,403455,403751,0,singleton,60.27
ENSRNA050013868,1A,A,407565,409374,0,singleton,50.11
ENSRNA050013930,1A,A,409601,409756,0,singleton,57.69
ENSRNA050013850,1A,A,416369,418178,0,singleton,49.56
ENSRNA050013922,1A,A,418405,418560,0,singleton,56.41
ENSRNA050013863,1A,A,424480,426291,0,singleton,49.45
ENSRNA050013916,1A,A,426518,426673,0,singleton,57.05
TraesCS1A02G001800,1A,A,1144333,1145934,2,triad,47.88
TraesCS1A02G001900,1A,A,1159194,1162830,2,triad,50.32
TraesCS1A02G002000,1A,A,1163485,1167878,2,triad,44.11
TraesCS1A02G002100,1A,A,1170356,1177383,2,triad,43.08
TraesCS1A02G002200,1A,A,1188844,1190864,2,triad,49.58
TraesCS1A02G002300,1A,A,1209721,1212812,2,triad,45.76
TraesCS1A02G002400,1A,A,1228914,1229339,2,triad,68.54
TraesCS1A02G002500,1A,A,1232354,1238469,2,triad,51.08
TraesCS1A02G002700,1A,A,1336841,1348326,2,triad,44.31
TraesCS1A02G002800,1A,A,1565963,1567220,0,singleton,45.55
TraesCS1A02G002900,1A,A,1657115,1666923,1,partial,43.15
TraesCS1A02G003000,1A,A,1668949,1670358,2,triad,43.55
TraesCS1A02G003100,1A,A,1689351,1698842,2,triad,46.66
TraesCS1A02G003200,1A,A,1721421,1734947,0,singleton,45.8
TraesCS1A02G003300,1A,A,1792119,1815634,0,singleton,42.36
TraesCS1A02G003400,1A,A,2161814,2163439,0,singleton,51.85
TraesCS1A02G003500,1A,A,2184957,2185397,1,partial,59.18
TraesCS1A02G003546,1A,A,2200978,2203830,1,partial,41.11
TraesCS1A02G003600,1A,A,2229188,2236819,1,partial,50.66
TraesCS1A02G003700,1A,A,2291887,2292891,1,partial,45.87
TraesCS1A02G003800,1A,A,2377713,2379143,1,partial,56.11
TraesCS1A02G003900,1A,A,2391500,2393497,2,triad,38.84
TraesCS1A02G004000,1A,A,2437843,2441540,2,triad,45.13
TraesCS1A02G004100,1A,A,2474575,2481205,0,singleton,40.55
TraesCS1A02G004126,1A,A,2490452,2519369,2,triad,49.15
TraesCS1A02G004200,1A,A,2540491,2540958,2,triad,52.14
TraesCS1A02G004300,1A,A,2550647,2569820,1,partial,45.13
TraesCS1A02G004400,1A,A,2642460,2648016,1,partial,41.64
TraesCS1A02G004500,1A,A,2661957,2667052,1,partial,40.27
TraesCS1A02G004600,1A,A,2837094,2843854,2,triad,39.95
TraesCS1A02G004700,1A,A,2847902,2850951,1,partial,35.64
TraesCS1A02G004800,1A,A,2934676,2938176,2,triad,43.62
TraesCS1A02G004900,1A,A,2942044,2945027,0,singleton,44.14
TraesCS1A02G005000,1A,A,2975187,2976767,0,singleton,40.86
TraesCS1A02G005100,1A,A,2978903,2981121,1,partial,40.24
TraesCS1A02G005200,1A,A,2982629,2986266,1,partial,42.8
TraesCS1A02G005300,1A,A,3013341,3014979,2,triad,45.03
TraesCS1A02G005315,1A,A,3019865,3021011,0,singleton,47.77
TraesCS1A02G005368,1A,A,3074492,3075657,0,singleton,47.66
TraesCS1A02G005387,1A,A,3094066,3095267,0,singleton,47.7
TraesCS1A02G005400,1A,A,3117194,3118502,1,partial,61.42
TraesCS1A02G005500,1A,A,3119378,3122276,2,triad,49.98
TraesCS1A02G005600,1A,A,3255618,3262577,2,triad,44.07
ENSRNA050009944,1A,A,3369050,3369131,0,singleton,59.76
TraesCS1A02G005700,1A,A,3377838,3383699,2,triad,47.41
TraesCS1A02G005800,1A,A,3386287,3391808,2,triad,44.01
TraesCS1A02G005900,1A,A,3446931,3450200,1,partial,44.01
TraesCS1A02G006000,1A,A,3451854,3454772,2,triad,43.13
TraesCS1A02G006100,1A,A,3462554,3465581,2,triad,36.23
TraesCS1A02G006200,1A,A,3488355,3491814,1,partial,43.12
TraesCS1A02G006300,1A,A,3500137,3503929,2,triad,43.24
TraesCS1A02G006400,1A,A,3531339,3532796,1,partial,45.47
