chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,mean_gc_content,n_records,n_distinct_studies,n_trait_categories,trait_shannon_entropy,records_per_gene,studies_per_gene
1A,A,0,20000000,491,0.4277,50.308,186,54,9,1.8983,0.37882,0.10998
1A,A,20000000,40000000,289,0.3772,50.416,84,38,6,2.0483,0.29066,0.13149
1A,A,40000000,60000000,182,0.1758,49.724,46,22,6,1.8974,0.25275,0.12088
1A,A,60000000,80000000,127,0.189,51.066,14,4,3,1.2958,0.11024,0.0315
1A,A,80000000,100000000,144,0.1806,49.722,4,3,4,2.0,0.02778,0.02083
1A,A,100000000,120000000,120,0.1583,49.305,22,8,6,2.1358,0.18333,0.06667
1A,A,120000000,140000000,73,0.1233,51.539,9,6,5,2.0588,0.12329,0.08219
1A,A,140000000,160000000,60,0.2167,49.93,10,4,3,1.4855,0.16667,0.06667
1A,A,160000000,180000000,34,0.2647,45.419,8,6,3,1.2988,0.23529,0.17647
1A,A,180000000,200000000,21,0.2857,48.129,8,7,3,1.0613,0.38095,0.33333
1A,A,200000000,220000000,26,0.2308,47.331,3,3,1,0.0,0.11538,0.11538
1A,A,220000000,240000000,45,0.1111,48.455,6,2,3,1.4591,0.13333,0.04444
1A,A,240000000,260000000,94,0.1277,48.42,6,6,3,1.2516,0.06383,0.06383
1A,A,260000000,280000000,63,0.3175,48.81,9,4,2,0.5033,0.14286,0.06349
1A,A,280000000,300000000,91,0.1319,49.624,11,7,4,1.4911,0.12088,0.07692
1A,A,300000000,320000000,98,0.1327,52.084,17,7,4,1.4505,0.17347,0.07143
1A,A,320000000,340000000,108,0.1389,52.712,18,12,6,2.1699,0.16667,0.11111
1A,A,340000000,360000000,118,0.1271,50.14,26,11,6,2.2185,0.22034,0.09322
1A,A,360000000,380000000,149,0.1275,52.111,32,10,4,0.8395,0.21477,0.06711
1A,A,380000000,400000000,132,0.1136,50.678,32,8,2,0.5436,0.24242,0.06061
1A,A,400000000,420000000,79,0.1013,49.557,15,7,4,1.6402,0.18987,0.08861
1A,A,420000000,440000000,111,0.1351,49.945,3,3,3,1.585,0.02703,0.02703
1A,A,440000000,460000000,167,0.0539,50.706,28,12,4,1.6515,0.16766,0.07186
1A,A,460000000,480000000,167,0.1078,52.217,57,17,6,1.2969,0.34132,0.1018
1A,A,480000000,500000000,280,0.1357,53.195,130,24,7,1.1187,0.46429,0.08571
1A,A,500000000,520000000,216,0.1481,53.339,84,25,7,0.9757,0.38889,0.11574
1A,A,520000000,540000000,286,0.1993,51.801,127,37,8,1.3312,0.44406,0.12937
1A,A,540000000,560000000,376,0.1941,52.54,117,26,7,1.5185,0.31117,0.06915
1A,A,560000000,580000000,341,0.2287,52.421,83,30,7,1.6629,0.2434,0.08798
1A,A,580000000,600000000,212,0.2264,49.259,106,30,7,1.8786,0.5,0.14151
1B,B,0,20000000,441,0.3719,48.054,143,47,9,2.3751,0.32426,0.10658
1B,B,20000000,40000000,173,0.3468,50.659,62,22,7,2.4405,0.35838,0.12717
1B,B,40000000,60000000,663,0.7828,51.256,86,18,7,2.0849,0.12971,0.02715
1B,B,60000000,80000000,96,0.1562,48.993,84,11,5,1.3432,0.875,0.11458
1B,B,80000000,100000000,133,0.4361,51.255,19,7,4,1.799,0.14286,0.05263
1B,B,100000000,120000000,136,0.2132,50.802,75,14,6,1.8876,0.55147,0.10294
1B,B,120000000,140000000,114,0.2018,50.961,18,4,5,1.7961,0.15789,0.03509
1B,B,140000000,160000000,106,0.1321,48.871,44,6,5,1.6159,0.41509,0.0566
1B,B,160000000,180000000,89,0.0787,50.431,33,4,4,1.4851,0.37079,0.04494
1B,B,180000000,200000000,69,0.058,49.984,31,6,5,1.8209,0.44928,0.08696
1B,B,200000000,220000000,35,0.2571,45.109,8,3,4,1.8113,0.22857,0.08571
1B,B,220000000,240000000,24,0.125,46.936,6,4,3,1.4591,0.25,0.16667
1B,B,240000000,260000000,29,0.069,46.486,1,1,1,0.0,0.03448,0.03448
1B,B,260000000,280000000,67,0.0597,49.852,4,3,1,0.0,0.0597,0.04478
1B,B,280000000,300000000,67,0.2239,48.31,23,7,5,1.4801,0.34328,0.10448
1B,B,300000000,320000000,79,0.1139,49.582,61,10,5,1.3801,0.77215,0.12658
1B,B,320000000,340000000,129,0.1318,51.596,27,9,4,1.4763,0.2093,0.06977
1B,B,340000000,360000000,116,0.0862,51.41,26,9,5,0.9271,0.22414,0.07759
1B,B,360000000,380000000,86,0.1744,51.003,165,14,3,1.1389,1.9186,0.16279
1B,B,380000000,400000000,126,0.0873,52.221,120,8,2,0.9007,0.95238,0.06349
1B,B,400000000,420000000,121,0.1488,50.754,75,9,4,1.079,0.61983,0.07438
1B,B,420000000,440000000,148,0.0878,50.331,41,11,6,1.7928,0.27703,0.07432
1B,B,440000000,460000000,136,0.125,50.792,29,12,5,1.4805,0.21324,0.08824
1B,B,460000000,480000000,114,0.0877,50.45,20,13,5,1.5166,0.17544,0.11404
1B,B,480000000,500000000,149,0.1007,52.029,40,8,4,0.9817,0.26846,0.05369
1B,B,500000000,520000000,116,0.1293,49.802,57,11,5,1.7035,0.49138,0.09483
1B,B,520000000,540000000,173,0.2197,53.305,56,14,6,1.4548,0.3237,0.08092
1B,B,540000000,560000000,199,0.2613,52.705,49,21,7,2.2807,0.24623,0.10553
1B,B,560000000,580000000,160,0.1562,50.748,103,29,8,1.8838,0.64375,0.18125
1B,B,580000000,600000000,221,0.1493,51.51,121,20,7,1.1691,0.54751,0.0905
1B,B,600000000,620000000,159,0.1887,52.719,48,18,7,2.1146,0.30189,0.11321
1B,B,620000000,640000000,304,0.2763,51.251,107,30,6,0.8868,0.35197,0.09868
1B,B,640000000,660000000,268,0.3097,50.961,122,26,7,1.4769,0.45522,0.09701
1B,B,660000000,680000000,371,0.2588,51.285,214,36,6,1.1671,0.57682,0.09704
1B,B,680000000,700000000,97,0.3093,49.165,56,19,6,1.1155,0.57732,0.19588
1D,D,0,20000000,440,0.3091,48.8,226,51,10,2.2179,0.51364,0.11591
1D,D,20000000,40000000,440,0.6386,51.095,62,26,7,2.3513,0.14091,0.05909
1D,D,40000000,60000000,192,0.2031,49.423,41,21,8,2.4251,0.21354,0.10938
1D,D,60000000,80000000,162,0.0988,50.43,10,6,3,1.1568,0.06173,0.03704
1D,D,80000000,100000000,129,0.155,51.012,14,5,4,1.7274,0.10853,0.03876
1D,D,100000000,120000000,133,0.1053,50.81,15,10,6,2.1968,0.11278,0.07519
1D,D,120000000,140000000,62,0.0323,48.019,4,3,3,1.5,0.06452,0.04839
1D,D,140000000,160000000,55,0.1455,47.226,3,1,2,0.9183,0.05455,0.01818
1D,D,160000000,180000000,30,0.1667,45.877,7,5,3,1.3788,0.23333,0.16667
1D,D,180000000,200000000,89,0.1011,48.59,4,2,2,1.0,0.04494,0.02247
1D,D,200000000,220000000,115,0.1565,49.25,28,10,4,1.0985,0.24348,0.08696
1D,D,220000000,240000000,121,0.124,49.207,6,4,2,0.65,0.04959,0.03306
1D,D,240000000,260000000,205,0.3366,46.344,24,7,4,1.273,0.11707,0.03415
1D,D,260000000,280000000,110,0.1182,52.296,4,3,3,1.5,0.03636,0.02727
1D,D,280000000,300000000,171,0.1111,51.797,7,3,3,1.3788,0.04094,0.01754
1D,D,300000000,320000000,167,0.0838,51.109,24,12,6,2.0273,0.14371,0.07186
1D,D,320000000,340000000,158,0.1203,49.683,3,3,3,1.585,0.01899,0.01899
1D,D,340000000,360000000,172,0.0581,50.892,12,10,5,2.1258,0.06977,0.05814
1D,D,360000000,380000000,190,0.1158,52.095,14,8,4,1.7885,0.07368,0.04211
1D,D,380000000,400000000,207,0.1498,52.002,17,11,5,1.9698,0.08213,0.05314
1D,D,400000000,420000000,261,0.1494,53.356,31,14,7,2.1618,0.11877,0.05364
1D,D,420000000,440000000,297,0.2054,51.54,43,12,5,1.9283,0.14478,0.0404
