Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Triticum aestivum homoeologue gene stable ID	Triticum aestivum homoeologue chromosome/scaffold name	Triticum aestivum homoeologue chromosome/scaffold start (bp)	Triticum aestivum homoeologue chromosome/scaffold end (bp)	Triticum aestivum homoeology confidence [0 low, 1 high]
TraesCS4A02G403700	4A	677309370	677309490					
TraesCS3A02G154800	3A	146562236	146563107	TraesCS3D02G162200	3D	132906636	132907540	1
TraesCS3A02G154800	3A	146562236	146563107	TraesCS3B02G181100	3B	189387595	189388805	1
TraesCS2B02G516800	2B	711866805	711869464	TraesCS2A02G489000	2A	723060949	723063405	1
TraesCS2B02G516800	2B	711866805	711869464	TraesCS2D02G489300	2D	588434944	588437418	1
TraesCS2A02G142500	2A	87882257	87885876	TraesCS2D02G145900	2D	87739532	87743275	1
TraesCS2A02G142500	2A	87882257	87885876	TraesCS2B02G167700	2B	140774603	140777844	1
TraesCSU02G246700	Un	372933370	372934131					
TraesCS2B02G557600	2B	752395013	752396073	TraesCS2A02G527000	2A	746915954	746916999	1
TraesCS2B02G557600	2B	752395013	752396073	TraesCS2D02G529800	2D	616923150	616924195	1
TraesCS7D02G255100	7D	231563761	231564132	TraesCS2B02G002300	2B	1452850	1453224	0
TraesCS3D02G398100	3D	512674672	512678309	TraesCS3B02G436500	3B	675038423	675041422	1
TraesCS3D02G398100	3D	512674672	512678309	TraesCS3A02G403200	3A	648262079	648265898	1
TraesCS6A02G353800	6A	585429346	585432779	TraesCS6D02G336100	6D	437165832	437169311	1
TraesCS6A02G353800	6A	585429346	585432779	TraesCS6B02G386500	6B	661340337	661343700	1
TraesCS7D02G209800	7D	167584688	167588228	TraesCS7B02G114300	7B	132168398	132171701	1
TraesCS7D02G209800	7D	167584688	167588228	TraesCS7A02G207100	7A	169397681	169401164	1
TraesCS5A02G158000	5A	338232306	338236790	TraesCS5D02G163400	5D	254833258	254837041	1
TraesCS5A02G158000	5A	338232306	338236790	TraesCS5B02G155700	5B	287791041	287794504	1
TraesCS6A02G215900	6A	397528782	397535451	TraesCS6D02G199600	6D	277641949	277648926	1
TraesCS6A02G215900	6A	397528782	397535451	TraesCS6B02G247000	6B	439348795	439357057	1
TraesCS1D02G267600	1D	363588561	363596302	TraesCS1A02G267700	1A	462742535	462750420	1
TraesCS1D02G267600	1D	363588561	363596302	TraesCS1B02G278400	1B	486831241	486839650	1
TraesCS3B02G271600	3B	437485675	437505353	TraesCS3D02G243600	3D	338917231	338929431	1
TraesCS3B02G271600	3B	437485675	437505353	TraesCS3A02G247800	3A	465828673	465839188	1
TraesCS1A02G176000	1A	314428210	314432375	TraesCS1B02G204100	1B	368221054	368225028	1
TraesCS1A02G176000	1A	314428210	314432375	TraesCS1D02G162800	1D	233474890	233480081	1
TraesCS1D02G240300	1D	330091037	330092487	TraesCS1A02G240200	1A	427048240	427049359	1
TraesCS1D02G240300	1D	330091037	330092487	TraesCS1B02G252300	1B	444936653	444937216	1
TraesCS6B02G357600	6B	625778598	625781138	TraesCS6D02G306300	6D	415026955	415029482	1
TraesCS6B02G357600	6B	625778598	625781138	TraesCS6A02G326500	6A	560032024	560034578	1
TraesCS2D02G286000	2D	364166230	364170015	TraesCS2A02G287600	2A	490661905	490665530	1
TraesCS2D02G286000	2D	364166230	364170015	TraesCS2B02G304400	2B	432555983	432559579	1
TraesCS2D02G272700	2D	337922887	337924898	TraesCS2A02G273700	2A	448153094	448154695	1
TraesCS2D02G272700	2D	337922887	337924898	TraesCS2B02G291500	2B	405262324	405264089	1
TraesCS1A02G416400	1A	574727696	574728169					
TraesCS5B02G464500	5B	639142455	639147899	TraesCS5D02G465100	5D	507888668	507894404	1
TraesCS5B02G464500	5B	639142455	639147899	TraesCS5A02G454600	5A	635504406	635509559	1
TraesCS3D02G434200	3D	546709110	546710713	TraesCS3A02G441400	3A	683448686	683450242	1
TraesCS5A02G302500	5A	512050206	512052104	TraesCS5D02G309200	5D	406393186	406395332	1
TraesCS5A02G302500	5A	512050206	512052104	TraesCS5B02G302800	5B	487344161	487346328	1
TraesCS7D02G477500	7D	588542412	588549567	TraesCS7A02G491200	7A	680326354	680334329	1
TraesCS7D02G477500	7D	588542412	588549567	TraesCS7B02G395000	7B	662652686	662660380	1
