"id","mqtl_name","chromosome","trait","parameter","category","position_interval","parsed_start","parsed_end","inferred_unit","reason","reference","doi","source_file","needs_review"
"M00026","MQTL3.5A","5A","Bioforitifcation","GFeC","Other","160.61/538.66",160.61,538.66,"cM","all values < 1000 -> cM","Singh et al., 2022",NA,"Iron content",FALSE
"M00027","MQTL4.5B","5B","Bioforitifcation","GFeC","Other","71.4/643.66",71.4,643.66,"cM","all values < 1000 -> cM","Singh et al., 2022",NA,"Iron content",FALSE
"M00028","MQTL5.5B","5B","Bioforitifcation","GFeC","Other","111.25/533.86",111.25,533.86,"cM","all values < 1000 -> cM","Singh et al., 2022",NA,"Iron content",FALSE
"M00029","MQTL6.5B","5B","Bioforitifcation","GFeC","Other","180/287.30",180,287.3,"cM","all values < 1000 -> cM","Singh et al., 2022",NA,"Iron content",FALSE
"M00031","MQTL10.7A","7A","Bioforitifcation","GFeC","Other","17.78/477.47",17.78,477.47,"cM","all values < 1000 -> cM","Singh et al., 2022",NA,"Iron content",FALSE
"M00032","MQTL11.7A","7A","Bioforitifcation","GFeC","Other","178.06/169.04",169.04,178.06,"cM","all values < 1000 -> cM","Singh et al., 2022",NA,"Iron content",FALSE
"M00041","MQTL1","1B","Yield","Grain yield and related traits","Yield","140.74",140.74,140.74,"cM","all values < 1000 -> cM",NA,"https://doi.org/10.1007/s10142-010-0183-2","MQTL_all traitsV3.0_final",FALSE
"M00042","MQTL2","3D","Yield","Grain yield and related traits","Yield","129.86",129.86,129.86,"cM","all values < 1000 -> cM",NA,"https://doi.org/10.1007/s10142-010-0183-2","MQTL_all traitsV3.0_final",FALSE
"M00043","MQTL3","6B","Yield","Grain yield and related traits","Yield","36.96",36.96,36.96,"cM","all values < 1000 -> cM",NA,"https://doi.org/10.1007/s10142-010-0183-2","MQTL_all traitsV3.0_final",FALSE
"M00044","MQTL-6","1D","Yield","Grain yield and related traits","Yield","107.31",107.31,107.31,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00045","MQTL-7","1D","Yield","Grain yield and related traits","Yield","127.92",127.92,127.92,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00046","MQTL-1","2A","Yield","Grain yield and related traits","Yield","13.29",13.29,13.29,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00047","MQTL-2","2A","Yield","Grain yield and related traits","Yield","30.92",30.92,30.92,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00048","MQTL-3","2A","Yield","Grain yield and related traits","Yield","43.7",43.7,43.7,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00049","MQTL-4","2A","Yield","Grain yield and related traits","Yield","50.07",50.07,50.07,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00050","MQTL-5","2A","Yield","Grain yield and related traits","Yield","56.42",56.42,56.42,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00051","MQTL-6","2A","Yield","Grain yield and related traits","Yield","80.67",80.67,80.67,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00052","MQTL-7","2A","Yield","Grain yield and related traits","Yield","100.72",100.72,100.72,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00053","MQTL-1","2B","Yield","Grain yield and related traits","Yield","50.7",50.7,50.7,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00054","MQTL-2","2B","Yield","Grain yield and related traits","Yield","71.64",71.64,71.64,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00055","MQTL-3","2B","Yield","Grain yield and related traits","Yield","95.09",95.09,95.09,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00056","MQTL-4","2B","Yield","Grain yield and related traits","Yield","109.36",109.36,109.36,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00057","MQTL-5","2B","Yield","Grain yield and related traits","Yield","142.27",142.27,142.27,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
"M00058","MQTL1","2D","Yield","Grain yield and related traits","Yield","1.81",1.81,1.81,"cM","all values < 1000 -> cM",NA,"https://link.springer.com/article/10.1007/s00122-021-03881-4","MQTL_all traitsV3.0_final",FALSE
