id,species,trait,parameter,mqtl_name,chromosome,position_interval,associated_markers,pve,candidate_gene,reference,doi,source_file
M00001,Triticum aestivum,Bioforitifcation,GFeC,MQTL_2A_1,2A,22.8/-,,,,"Shariatipour et al., 2021",,Iron content
M00002,Triticum aestivum,Bioforitifcation,GFeC,MQTL_2A_2,2A,36.87/-,,,,"Shariatipour et al., 2021",,Iron content
M00003,Triticum aestivum,Bioforitifcation,GFeC,MQTL_3D_3,3D,121.94/-,,,,"Shariatipour et al., 2021",,Iron content
M00004,Triticum aestivum,Bioforitifcation,GFeC,MQTL_3D_4,3D,140.91/-,,,,"Shariatipour et al., 2021",,Iron content
M00005,Triticum aestivum,Bioforitifcation,GFeC,MQTL_4D_1,4D,17.98/-,,,,"Shariatipour et al., 2021",,Iron content
M00006,Triticum aestivum,Bioforitifcation,GFeC,MQTL_4D_2,4D,41/-,,,,"Shariatipour et al., 2021",,Iron content
M00007,Triticum aestivum,Bioforitifcation,GFeC,MQTL_4D_3,4D,100.02/-,,,,"Shariatipour et al., 2021",,Iron content
M00008,Triticum aestivum,Bioforitifcation,GFeC,MQTL_4D_4,4D,172.97/-,,,,"Shariatipour et al., 2021",,Iron content
M00009,Triticum aestivum,Bioforitifcation,GFeC,MQTL_5A_4,5A,78.56/-,,,,"Shariatipour et al., 2021",,Iron content
M00010,Triticum aestivum,Bioforitifcation,GFeC,MQTL_5A_5,5A,88.51/-,,,,"Shariatipour et al., 2021",,Iron content
M00011,Triticum aestivum,Bioforitifcation,GFeC,MQTL_7A_1,7A,45.93/-,,,,"Shariatipour et al., 2021",,Iron content
M00012,Triticum aestivum,Bioforitifcation,GFeC,MQTL_7A_2,7A,51.07/-,,,,"Shariatipour et al., 2021",,Iron content
M00013,Triticum aestivum,Bioforitifcation,GFeC,MQTL_7A_3,7A,59.28/-,,,,"Shariatipour et al., 2021",,Iron content
M00014,Triticum aestivum,Bioforitifcation,GFeC,MQTL_7B_1,7B,61.32/-,,,,"Shariatipour et al., 2021",,Iron content
M00015,Triticum aestivum,Bioforitifcation,GFeC,MQTL_7B_2,7B,72.66/-,,,,"Shariatipour et al., 2021",,Iron content
M00016,Triticum aestivum,Bioforitifcation,GFeC,MQTL_7B_3,7B,83.18/-,,,,"Shariatipour et al., 2021",,Iron content
M00017,Triticum aestivum,Bioforitifcation,GFeC,MQTL_7B_4,7B,96.82/-,,,,"Shariatipour et al., 2021",,Iron content
M00018,Triticum aestivum,Bioforitifcation,GFeC,MQTL_7B_5,7B,121.38/-,,,,"Shariatipour et al., 2021",,Iron content
M00019,Triticum aestivum,Bioforitifcation,GFeC,MQTL_7B_6,7B,132.26/-,,,,"Shariatipour et al., 2021",,Iron content
M00020,Triticum aestivum,Bioforitifcation,GFeC,MQTL/1,Un,203.20/95.50–97.07,,,,"Shariatipour et al., 2021",,Iron content
M00021,Triticum aestivum,Bioforitifcation,GFeC,MQTL/2,Un,146.47/793.03–796.69,,,,"Shariatipour et al., 2021",,Iron content
M00022,Triticum aestivum,Bioforitifcation,GFeC,MQTL/4,Un,39.01/430.96–438.48,,,,"Shariatipour et al., 2021",,Iron content
M00023,Triticum aestivum,Bioforitifcation,GFeC,MQTL/5,Un,33.60/57.16–89.97,,,,"Shariatipour et al., 2021",,Iron content
M00024,Triticum aestivum,Bioforitifcation,GFeC,MQTL/7,Un,66.62/637.64–665.25,,,,"Shariatipour et al., 2021",,Iron content
M00025,Triticum aestivum,Bioforitifcation,GFeC,MQTL1.5A,5A,16.32/-,,4.2,,"Singh et al., 2022",,Iron content
M00026,Triticum aestivum,Bioforitifcation,GFeC,MQTL3.5A,5A,160.61/538.66,,12.3,,"Singh et al., 2022",,Iron content
M00027,Triticum aestivum,Bioforitifcation,GFeC,MQTL4.5B,5B,71.4/643.66,,14.9,,"Singh et al., 2022",,Iron content
M00028,Triticum aestivum,Bioforitifcation,GFeC,MQTL5.5B,5B,111.25/533.86,,11.5,,"Singh et al., 2022",,Iron content
M00029,Triticum aestivum,Bioforitifcation,GFeC,MQTL6.5B,5B,180/287.30,,7.7,,"Singh et al., 2022",,Iron content
M00030,Triticum aestivum,Bioforitifcation,GFeC,MQTL8.6A,6A,694.77/-,,9.6,,"Singh et al., 2022",,Iron content
M00031,Triticum aestivum,Bioforitifcation,GFeC,MQTL10.7A,7A,17.78/477.47,,3.75,,"Singh et al., 2022",,Iron content
M00032,Triticum aestivum,Bioforitifcation,GFeC,MQTL11.7A,7A,178.06/169.04,,7.4,,"Singh et al., 2022",,Iron content
M00033,Triticum turgidum subsp. dicoccoides,Bioforitifcation,GFeC,dicoccoides_MQTL_1A.1,1A,42.79/-,,,,"Cabas-Lühmann et al., 2024",,Iron content
M00034,Triticum turgidum subsp. dicoccoides,Bioforitifcation,GFeC,dicoccoides_MQTL_1B.2,1B,78.83/-,,,,"Cabas-Lühmann et al., 2024",,Iron content
M00035,Triticum turgidum subsp. dicoccoides,Bioforitifcation,GFeC,dicoccoides_MQTL_2B.4,2B,156.7/-,,,,"Cabas-Lühmann et al., 2024",,Iron content
M00036,Triticum turgidum subsp. dicoccoides,Bioforitifcation,GFeC,dicoccoides_MQTL_3B.2,3B,198.7/-,,,,"Cabas-Lühmann et al., 2024",,Iron content
M00037,Triticum turgidum subsp. dicoccoides,Bioforitifcation,GFeC,dicoccoides_MQTL_4B.1,4B,16.39/-,,,,"Cabas-Lühmann et al., 2024",,Iron content
M00038,Triticum turgidum subsp. dicoccoides,Bioforitifcation,GFeC,dicoccoides_MQTL_5A.2,5A,48.93/-,,,,"Cabas-Lühmann et al., 2024",,Iron content
M00039,Triticum turgidum subsp. dicoccoides,Bioforitifcation,GFeC,dicoccoides_MQTL_6B.3,6B,140.58/-,,,,"Cabas-Lühmann et al., 2024",,Iron content
M00040,Triticum turgidum subsp. dicoccoides,Bioforitifcation,GFeC,dicoccoides_MQTL_7A.2,7A,132.57/-,,,,"Cabas-Lühmann et al., 2024",,Iron content
M00041,Triticum aestivum,Yield,Grain yield and related traits,MQTL1,1B,140.74,,25.31,,,https://doi.org/10.1007/s10142-010-0183-2,MQTL_all traitsV3.0_final
M00042,Triticum aestivum,Yield,Grain yield and related traits,MQTL2,3D,129.86,,20.7,,,https://doi.org/10.1007/s10142-010-0183-2,MQTL_all traitsV3.0_final
M00043,Triticum aestivum,Yield,Grain yield and related traits,MQTL3,6B,36.96,,52.94,,,https://doi.org/10.1007/s10142-010-0183-2,MQTL_all traitsV3.0_final
M00044,Triticum aestivum,Yield,Grain yield and related traits,MQTL-6,1D,107.31,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00045,Triticum aestivum,Yield,Grain yield and related traits,MQTL-7,1D,127.92,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00046,Triticum aestivum,Yield,Grain yield and related traits,MQTL-1,2A,13.29,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00047,Triticum aestivum,Yield,Grain yield and related traits,MQTL-2,2A,30.92,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00048,Triticum aestivum,Yield,Grain yield and related traits,MQTL-3,2A,43.7,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00049,Triticum aestivum,Yield,Grain yield and related traits,MQTL-4,2A,50.07,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00050,Triticum aestivum,Yield,Grain yield and related traits,MQTL-5,2A,56.42,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00051,Triticum aestivum,Yield,Grain yield and related traits,MQTL-6,2A,80.67,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00052,Triticum aestivum,Yield,Grain yield and related traits,MQTL-7,2A,100.72,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00053,Triticum aestivum,Yield,Grain yield and related traits,MQTL-1,2B,50.7,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00054,Triticum aestivum,Yield,Grain yield and related traits,MQTL-2,2B,71.64,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00055,Triticum aestivum,Yield,Grain yield and related traits,MQTL-3,2B,95.09,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00056,Triticum aestivum,Yield,Grain yield and related traits,MQTL-4,2B,109.36,,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
