id,species,trait,parameter,cross,population,method,qtl1,chromosome1,position_interval1,markers1,qtl2,chromosome2,position_interval2,markers2,lod,pve,reference,doi,source_file
E00001,Triticum durum,Yield,Thousand grain weight,QTgw.cerz-1AS.1,1A,0.0-5.5,Bla-wmc95,1B,1B,gwm273-wmc626,,1B,,gwm273-wmc626,,,,2017,Epistatic QTLs_v3.0
E00002,Triticum durum,Yield,Thousand grain weight,QTgw.cerz-5BL.2,5B,131.9-140.9,barc232-wmc28,7B,7B,wmc396-barc278,,7B,,wmc396-barc278,,,,2017,Epistatic QTLs_v3.0
E00003,Triticum durum,Yield,Plant height,QPh.cerz-1BL.2,1B,133.1-145.4,wg241-ksm176,3A,3A,gwm369-wmc50,,3A,,gwm369-wmc50,,,,2017,Epistatic QTLs_v3.0
E00004,Triticum durum,Yield,Plant height,QPh.cerz-6BL,6B,136.2-138.7,wmc62-barc134,7B,7B,gwm46-barc23,,7B,,gwm46-barc23,,,,2017,Epistatic QTLs_v3.0
E00005,Triticum durum,Yield,Peduncle length,QPdL.cerz-5AL.3,5A,191.8-197.7,gwm179-wmc727,7B,7B,Psy-B1-cfa2257,,7B,,Psy-B1-cfa2257,,,,2017,Epistatic QTLs_v3.0
E00006,Triticum durum,Yield,Peduncle length,QPdL.cerz-5BL,5B,41.2-54.5,gwm371-barc331,6B,6B,ksm45-gwm613,,6B,,ksm45-gwm613,,,,2017,Epistatic QTLs_v3.0
E00007,Triticum durum,Yield,Harvest index,QHi.cerz-1AL.1,1A,76.4-89.3,gwm135-BM140362_603,7A,7A,gwm635-barc70,,7A,,gwm635-barc70,,,,2017,Epistatic QTLs_v3.0
E00008,Triticum durum,Yield,Spikelets per spike,QSne.cerz-1BS,1B,35.1-40.1,wmc626-wmc85,4B,4B,BE446304_110-ksm62,,4B,,BE446304_110-ksm62,,,,2017,Epistatic QTLs_v3.0
E00009,Triticum durum,Yield,Spikelets per spike,QSne.cerz-1BL.1,1B,46.4-57.1,BE443797_436-barc302,6A,6A,CD491758_81-barc146,,6A,,CD491758_81-barc146,,,,2017,Epistatic QTLs_v3.0
E00010,Triticum durum,Yield,Spikelets per spike,QSne.cerz-1BL.2,1B,123.6-143.6,psr162-wg241,4B,4B,BE446304_110-ksm62,,4B,,BE446304_110-ksm62,,,,2017,Epistatic QTLs_v3.0
E00011,Triticum durum,Yield,Spikelets per spike,e QSne.cerz-4AL.3,4A,49.8-67.8,wmc258-wmc718,5B,5B,barc142-wmc160,,5B,,barc142-wmc160,,,,2017,Epistatic QTLs_v3.0
E00012,Triticum durum,Yield,Fertile spikelets per spike,QFse.cerz-1AL,1A,102.1-112.6,cfa2129-dupw38,7B,7B,wmc323-barc279,,7B,,wmc323-barc279,,,,2017,Epistatic QTLs_v3.0
E00013,Triticum durum,Yield,Grain weight per spike,QGwe.cerz-2AL,2A,65.8-70.0,gwm275-gwm515,4B,4B,gwm495-wmc657,,4B,,gwm495-wmc657,,,,2017,Epistatic QTLs_v3.0
E00014,Triticum durum,Yield,Grain number per fertile spikelet,QGnfs.cerz-1BL,1B,69.3-79.8,barc181-Glu-B1,5A,5A,wmc577-gwm179,,5A,,wmc577-gwm179,,,,2017,Epistatic QTLs_v3.0
E00015,Triticum durum,Yield,Grain number per fertile spikelet,QGnfs.cerz-6BS.1,6B,0.0-12.1,gwm613-barc14,7A,7A,barc282-BQ170462_176,,7A,,barc282-BQ170462_176,,,,2017,Epistatic QTLs_v3.0
E00016,Triticum durum,Yield,Grain number per total spikelets,QGnts.cerz-2AS,2A,66.3-71.0,gwm275-gwm515,3B,3B,gwm493-cfd79,,3B,,gwm493-cfd79,,,,2017,Epistatic QTLs_v3.0
E00017,Triticum durum,Yield,Grain number per total spikelets,QGnts.cerz-2AS,2A,72.8-79.0,gwm249-gwm71,3B,3B,cfd79-ksm45,,3B,,cfd79-ksm45,,,,2017,Epistatic QTLs_v3.0
E00018,Triticum durum,Yield,Yield,QYld.cerz-1AS,1A,23.8-31.9,wmc329-wmc24,6A,6A,barc118-barc107,,6A,,barc118-barc107,,,,2017,Epistatic QTLs_v3.0
E00019,Triticum durum,Yield,Spikes per square meter,QSsm.cerz-1AS,1A,16.5-24.3,wmc95-wmc329,4B,4B,cfd39-wmc47,,4B,,cfd39-wmc47,,,,2017,Epistatic QTLs_v3.0
E00020,Triticum durum,Yield,Spikes per plant,QSnp.cerz-3AS.2,3A,17.3-30.0,gwm369-wmc50,3B,3B,gwm285-ksm151,,3B,,gwm285-ksm151,,,,2017,Epistatic QTLs_v3.0
E00021,Triticum durum,Yield,Spikes per plant,QSnp.cerz-3AS.2,3A,17.3-30.0,gwm369-wmc50,3B,3B,cfd79-ksm45,,3B,,cfd79-ksm45,,,,2017,Epistatic QTLs_v3.0
E00022,Triticum durum,Yield,Grain number per plant,QGnp.cerz-3AS.2,3A,20.3-29.5,gwm369-wmc50,3B,3B,gwm285-ksm151,,3B,,gwm285-ksm151,,,,2017,Epistatic QTLs_v3.0
E00023,Triticum durum,Yield,Grain number per plant,QGnp.cerz-3AS.2,3A,20.3-29.5,gwm369-wmc50,3B,3B,cfd79-ksm45,,3B,,cfd79-ksm45,,,,2017,Epistatic QTLs_v3.0
E00024,Triticum durum,Yield,Grain weight per plant,QGwp.cerz-3AS.2,3A,19.3-35.5,gwm369-wmc50,3B,3B,gwm285-ksm151,,3B,,gwm285-ksm151,,,,2017,Epistatic QTLs_v3.0
E00025,Triticum durum,Yield,Grain weight per plant,QGwp.cerz-3AS.2,3A,19.3-35.5,gwm369-wmc50,3B,3B,ksm45-wmc43,,3B,,ksm45-wmc43,,,,2017,Epistatic QTLs_v3.0
E00026,Triticum durum,Yield,Biomass per plant,QBpp.cerz-3AS.2,3A,18.3-35.0,wmc50-cfa2163,3B,3B,ksm45-wmc43,,3B,,ksm45-wmc43,,,,2017,Epistatic QTLs_v3.0
E00027,Triticum durum,Yield,Biomass per plant,QBpp.cerz-3AS.2,3A,16.3-33.0,wmc505-barc359,3B,3B,gwm285-ksm151,,3B,,gwm285-ksm151,,,,2017,Epistatic QTLs_v3.0
E00028,Triticum durum,Yield,Days to heading,QHd.cerz-3AL.1,3A,48.3-53.4,ksm28-wmc428,7A,7A,gwm635-barc70,,7A,,gwm635-barc70,,,,2017,Epistatic QTLs_v3.0
E00029,Triticum durum,Yield,Days to heading,QHd.cerz-3AL.2,3A,117.7-130.7,BF293500_113-cfa2193,3B,3B,gwm285-ksm151,,3B,,gwm285-ksm151,,,,2017,Epistatic QTLs_v3.0
E00030,Triticum durum,Yield,Days to heading,QHd.cerz-3BL.2,3B,118.8-128.8,BQ159467_233-barc164,4B,4B,ksm62-gwm113,,4B,,ksm62-gwm113,,,,2017,Epistatic QTLs_v3.0
E00031,Triticum durum,Yield,Days to flowering,QFlt.cerz-1AS.1,1A,0.0-6.0,Bla-wmc95,4A,4A,wmc617a-dupw4,,4A,,wmc617a-dupw4,,,,2017,Epistatic QTLs_v3.0
E00032,Triticum durum,Yield,Days to flowering,QFlt.cerz-1AS.1,1A,0.0-6.0,Bla-wmc95,1B,1B,psr162-wg241,,1B,,psr162-wg241,,,,2017,Epistatic QTLs_v3.0
E00033,Triticum durum,Yield,Days to flowering,QFlt.cerz-2BS.2,2B,43.2-56.6,gwm410-wmc167,4B,4B,barc337-gwm540,,4B,,barc337-gwm540,,,,2017,Epistatic QTLs_v3.0
E00034,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,3B,150,chr3B_559428575/chr3B_628777199,,3B,,chr3B_559428575/chr3B_628777199,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00035,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,1B,95,chr1B_678416889/chr1B_679124965,,1B,,chr1B_678416889/chr1B_679124965,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00036,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,7A,255,chr7A_662650085/chr7A_696982334,,7A,,chr7A_662650085/chr7A_696982334,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00037,Triticum aestivum,Yield,biomass,TAM113 and Gallagher,191 recombinant inbred line,ICIM,20EMN_19BSP_21BD,1D,40,chr1D_301131969/chr1D_303554280,,1D,,chr1D_301131969/chr1D_303554280,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
